Date,Name,Year,Letterboxd URI,Rating
2020-06-11,Annihilation,2018,https://boxd.it/9yzm,4
2020-06-11,Parasite,2019,https://boxd.it/hTha,4.5
2020-06-11,The Cabin in the Woods,2011,https://boxd.it/1zOc,3.5
2020-06-11,Event Horizon,1997,https://boxd.it/20d8,1.5
2020-06-11,The Lighthouse,2019,https://boxd.it/icFU,4
2020-06-11,Her,2013,https://boxd.it/4O24,5
2020-06-12,Re-Animator,1985,https://boxd.it/28hM,3
2020-06-13,Django Unchained,2012,https://boxd.it/2cCk,4.5
2020-06-14,The Matrix,1999,https://boxd.it/2a1m,4
2020-06-19,The Descent,2005,https://boxd.it/1YNy,4
2020-07-10,Inception,2010,https://boxd.it/1skk,3.5
2020-07-10,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2020-07-10,The Death of Stalin,2017,https://boxd.it/ea9Y,4
2020-08-01,Twin Peaks,1989,https://boxd.it/g8pk,3
2020-08-16,Straight Up,2019,https://boxd.it/mhGQ,3.5
2020-08-16,Good Time,2017,https://boxd.it/fcFu,3.5
2020-08-16,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2020-08-16,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4.5
2020-08-16,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2020-08-16,Palm Springs,2020,https://boxd.it/lCXQ,4
2021-04-05,A Silent Voice,2016,https://boxd.it/d99c,3
2021-04-05,Your Name.,2016,https://boxd.it/cUqs,4
